,総計,移動の主因者_総数,移動の主因者_就職,移動の主因者_転勤,移動の主因者_転業・転職,移動の主因者_退職・廃業,移動の主因者_入学・転校,移動の主因者_通勤・通学の便,移動の主因者_結婚・離婚・養子縁組,移動の主因者_子育て環境上,移動の主因者_介護,移動の主因者_住宅事情,移動の主因者_その他,移動の主因者_不詳,主因者に伴う者
 　0～4歳,2423.064679650875,58.575294431527986,0.0,0.0,0.0,0.0,0.0,0.0,1.9525098143842665,9.762549071921331,0.0,3.905019628768533,41.002706102069595,1.9525098143842667,2364.489385219347
　 5～9歳,1489.7649883751956,35.145176658916796,0.0,0.0,0.0,0.0,17.572588329458398,0.0,3.905019628768533,1.9525098143842665,0.0,0.0,11.715058886305599,0.0,1454.6198117162787
 10～14歳,761.478827609864,93.7204710904448,0.0,0.0,0.0,0.0,52.7177649883752,1.9525098143842665,3.905019628768533,5.857529443152799,0.0,1.9525098143842665,19.525098143842666,7.810039257537067,667.7583565194192
 15～19歳,3725.3887258451805,3336.8392727827113,544.7502382132103,160.10580477950987,42.95521591645386,58.57529443152799,1784.5939703472195,58.57529443152799,17.572588329458398,9.762549071921331,0.0,7.810039257537066,421.7421199070015,230.39615809734346,388.549453062469
 20～24歳,13523.08297442543,13175.53622746503,6312.4642299043335,1423.3796546861304,911.8220833174524,374.8818843617791,622.8506307885809,167.91584403704692,290.92396234325577,29.287647215763997,9.762549071921331,109.34054960551893,1973.9874223424933,948.9197697907537,347.5467469603995
 25～29歳,8454.367496283872,7669.458550901398,1089.5004764264206,2298.1040515302816,1468.2873804169683,232.34866791172772,64.43282387468079,31.240157030148264,669.7108663338034,66.38533368906505,15.62007851507413,93.72047109044479,1171.5058886305599,468.60235545222395,784.9089453824752
 30～34歳,5283.491557723826,4422.434729580365,343.6417273316309,1745.5437740595344,732.1911803940999,97.62549071921332,29.287647215763997,25.382627586995465,376.8343941761634,60.52780424591226,9.762549071921331,119.10309867744026,585.7529443152799,296.78149178640854,861.0568281434616
 35～39歳,3567.2354308800554,2942.43229027709,175.72588329458398,1366.7568700689867,396.35949232000604,48.81274535960666,13.667568700689866,23.430117772611197,175.72588329458398,60.52780424591226,21.47760795822693,95.67298090482906,378.78690399054767,185.48843236650532,624.8031406029653
 40～44歳,2678.8434653352133,2179.0009528528412,107.38803979113464,1073.8803979113466,220.63360902542212,29.287647215763997,44.90772573083812,7.810039257537066,119.10309867744026,31.240157030148264,21.47760795822693,48.812745359606666,341.6892175172466,132.77066737813013,499.8425124823723
 45～49歳,2438.684758165949,2065.755383618554,109.34054960551893,1046.5452605099667,183.53592255212104,23.430117772611194,25.38262758699546,11.715058886305599,76.14788276098639,25.382627586995465,33.19266684453253,80.05290238975492,287.01894271448714,164.0108244082784,372.92937454739496
 50～54歳,2134.0932271220036,1808.0240881198308,99.57800053359759,960.6348286770592,123.00811830620877,42.95521591645386,1.9525098143842665,9.762549071921333,50.76525517399093,9.762549071921331,56.62278461714373,50.76525517399093,306.5440408583298,95.67298090482906,326.0691390021725
 55～59歳,1423.3796546861302,1167.6008690017911,58.57529443152799,509.60506155429357,85.91043183290772,56.62278461714372,1.9525098143842665,15.620078515074132,29.287647215763997,9.762549071921331,52.717764988375194,64.43282387468079,214.77607958226932,68.33784350344934,255.77878568433894
 60～64歳,964.5398483058277,777.0989061249381,31.24015703014826,173.77337348019972,29.287647215763993,130.81815756374584,5.857529443152799,0.0,11.715058886305599,13.667568700689865,48.812745359606666,64.43282387468079,203.06102069596372,64.43282387468079,187.4409421808896
 65歳以上,2360.584365590578,1997.4175401151044,21.47760795822693,76.14788276098639,21.47760795822693,132.7706673781301,0.0,3.905019628768533,27.33513740137973,5.857529443152799,413.93208064946447,279.2089034569501,784.908945382475,230.39615809734346,363.16682547547356
